"CERF.A1","CERF.A2","CERF.B1","CERF.B2","CERF.C1","CERF.C2","Dependency trees.longest_distance","Dependency trees.average_distance_all","freq.ratio_in_first_10","freq.ratio_in_first_100","freq.ratio_in_first_1000","freq.ratio_in_further","lengths.avg_sentence_length_without_spaces","lengths.avg_word_length_with_spaces","lengths.avg_words_per_sentence","Ratios.ratio_adverbs","Ratios.ratio_pronouns","Ratios.ratio_determiners","Ratios.ratio_conjunctions","Ratios.ratio_subconjunctions","Ratios.ratio_coconjunctions","relfreq func.ADP","relfreq func.AUX","relfreq func.DET","relfreq func.PART","relfreq func.PRON","relfreq func.OVERALL","relfreq func.INTJ","sentiment.sentiment","sentiment.formality","TTR.ttr","author"
0.640686922060766,0.112285336856011,0.0924702774108322,0.0462351387054161,0.0435931307793923,0.00132100396301188,11,2.56336381953491,0.205333333333333,0.389333333333333,0.529333333333333,0.262666666666667,95.3095238095238,5.33733333333333,17.8571428571429,0.100755667506297,0.123425692695214,0.249370277078086,0.161209068010076,0.0629722921914358,0.0982367758186398,0.0811724915445321,0.0405862457722661,0.111612175873732,0.0270574971815107,0.0552423900789177,0.315670800450958,NA,27,0.996,0.541333333333333,"GPT"
0.732743362831858,0.107964601769912,0.123893805309735,0.0389380530973451,0.0513274336283186,0,9,2.75138934789833,0.263345195729537,0.427046263345196,0.549822064056939,0.229537366548043,105.666666666667,5.07651245551601,20.8148148148148,0.115254237288136,0.0983050847457627,0.274576271186441,0.135593220338983,0.023728813559322,0.111864406779661,0.0931297709923664,0.0427480916030534,0.123664122137405,0.0244274809160305,0.0442748091603053,0.32824427480916,NA,20,0.994661921708185,0.583629893238434,"GPT"
0.611510791366906,0.147482014388489,0.100719424460432,0.052158273381295,0.0233812949640288,0.00179856115107913,10,2.94421405281526,0.236697247706422,0.379816513761468,0.51743119266055,0.258715596330275,122.24,5.60733944954128,21.8,0.0974025974025974,0.0779220779220779,0.211038961038961,0.133116883116883,0.038961038961039,0.0941558441558442,0.102134146341463,0.0274390243902439,0.0990853658536585,0.0320121951219512,0.0365853658536585,0.297256097560976,NA,3,0.992660550458716,0.603669724770642,"GPT"
0.831715210355987,0.113268608414239,0.06957928802589,0.0210355987055016,0.0226537216828479,0,12,3.00875055440945,0.211382113821138,0.43739837398374,0.601626016260163,0.216260162601626,118.777777777778,5.21463414634146,22.7777777777778,0.103975535168196,0.0886850152905199,0.204892966360856,0.174311926605505,0.0519877675840979,0.122324159021407,0.0832157968970381,0.0705218617771509,0.0944992947813822,0.0338504936530324,0.0409026798307475,0.322990126939351,NA,13,0.980487804878049,0.478048780487805,"Llama"
0.80791788856305,0.112903225806452,0.0821114369501466,0.0249266862170088,0.0205278592375366,0,12,3.0917811048888,0.225997045790251,0.431314623338257,0.58493353028065,0.230428360413589,118.3,5.24224519940916,22.5666666666667,0.0869565217391304,0.0760869565217391,0.220108695652174,0.16304347826087,0.0434782608695652,0.119565217391304,0.0893997445721584,0.0549169859514687,0.103448275862069,0.033205619412516,0.0357598978288633,0.316730523627075,NA,19,0.982274741506647,0.485967503692762,"Llama"
0.868421052631579,0.0756578947368421,0.0805921052631579,0.0230263157894737,0.0411184210526316,0,10,2.89683493152462,0.249169435215947,0.480066445182724,0.647840531561462,0.20265780730897,113.384615384615,4.89700996677741,23.2307692307692,0.12,0.12,0.236666666666667,0.193333333333333,0.0633333333333333,0.13,0.0944992947813822,0.076163610719323,0.100141043723554,0.0366713681241185,0.0507757404795487,0.358251057827927,NA,13,0.981727574750831,0.418604651162791,"Llama"
0.878542510121457,0.0998650472334683,0.0755735492577598,0.0229419703103914,0.0337381916329285,0,10,2.91478693577958,0.227086183310534,0.481532147742818,0.658002735978112,0.20656634746922,115.677419354839,4.90560875512996,23.5806451612903,0.136612021857924,0.122950819672131,0.240437158469945,0.193989071038251,0.0710382513661202,0.122950819672131,0.0884749708963912,0.080325960419092,0.10244470314319,0.039580908032596,0.0523864959254948,0.363213038416764,NA,18,0.978112175102599,0.39124487004104,"Llama"
0.730240549828179,0.111683848797251,0.0756013745704467,0.0567010309278351,0.0378006872852234,0.00171821305841924,11,2.80093187932523,0.198961937716263,0.420415224913495,0.550173010380623,0.243944636678201,105.862068965517,5.31141868512111,19.9310344827586,0.134868421052632,0.115131578947368,0.259868421052632,0.101973684210526,0.0230263157894737,0.0789473684210526,0.0786350148367952,0.072700296735905,0.117210682492582,0.029673590504451,0.0519287833827893,0.350148367952522,NA,12,0.994809688581315,0.477508650519031,"Mistral"
0.660044150110375,0.0838852097130243,0.0662251655629139,0.0419426048565121,0.0485651214128035,0,9,2.61365755958023,0.233333333333333,0.411111111111111,0.564444444444444,0.233333333333333,105.652173913043,5.4,19.5652173913043,0.100806451612903,0.0564516129032258,0.237903225806452,0.133064516129032,0.032258064516129,0.100806451612903,0.104364326375712,0.0493358633776091,0.111954459203036,0.0189753320683112,0.0265654648956357,0.311195445920304,NA,1,0.993333333333333,0.533333333333333,"Mistral"
0.697544642857143,0.0892857142857143,0.0915178571428571,0.0546875,0.0479910714285714,0.00223214285714285,12,3.08904624570112,0.250561797752809,0.448314606741573,0.586516853932584,0.259550561797753,119.3,5.36179775280899,22.25,0.0924731182795699,0.0752688172043011,0.236559139784946,0.165591397849462,0.0451612903225806,0.120430107526882,0.11336032388664,0.0587044534412955,0.111336032388664,0.0151821862348178,0.0354251012145749,0.334008097165992,NA,4,0.997752808988764,0.398876404494382,"Mistral"
