"CERF.A1","CERF.A2","CERF.B1","CERF.B2","CERF.C1","CERF.C2","Dependency trees.longest_distance","Dependency trees.average_distance_all","freq.ratio_in_first_10","freq.ratio_in_first_100","freq.ratio_in_first_1000","freq.ratio_in_further","lengths.avg_sentence_length_without_spaces","lengths.avg_word_length_with_spaces","lengths.avg_words_per_sentence","Ratios.ratio_adverbs","Ratios.ratio_pronouns","Ratios.ratio_determiners","Ratios.ratio_conjunctions","Ratios.ratio_subconjunctions","Ratios.ratio_coconjunctions","relfreq func.ADP","relfreq func.AUX","relfreq func.DET","relfreq func.PART","relfreq func.PRON","relfreq func.OVERALL","relfreq func.INTJ","sentiment.sentiment","sentiment.formality","TTR.ttr","author"
0.709281961471103,0.0858143607705779,0.0647985989492119,0.0577933450087566,0.0472854640980735,0.00350262697022767,9,2.71430799568932,0.224199288256228,0.405693950177936,0.556939501779359,0.252669039145907,100.862068965517,5.20462633451957,19.3793103448276,0.130434782608696,0.11371237458194,0.250836120401338,0.133779264214047,0.0501672240802676,0.0836120401337793,0.091743119266055,0.0412844036697248,0.114678899082569,0.0244648318042813,0.0519877675840979,0.324159021406728,NA,16,0.99644128113879,0.564056939501779,"GPT"
0.672757475083056,0.116279069767442,0.101328903654485,0.0747508305647841,0.0382059800664452,0.00664451827242524,11,2.6958064456847,0.217028380634391,0.390651085141903,0.514190317195326,0.270450751252087,101.03125,5.39732888146912,18.71875,0.130699088145897,0.094224924012158,0.264437689969605,0.109422492401216,0.0243161094224924,0.0851063829787234,0.0816618911174785,0.0372492836676218,0.124641833810888,0.0329512893982808,0.0444126074498567,0.320916905444126,NA,15,0.996661101836394,0.587646076794658,"GPT"
0.685507246376812,0.117391304347826,0.107246376811594,0.0449275362318841,0.0449275362318841,0,13,2.55424180936,0.222222222222222,0.39766081871345,0.532163742690059,0.251461988304094,97.5135135135135,5.27485380116959,18.4864864864865,0.0842391304347826,0.133152173913043,0.239130434782609,0.133152173913043,0.0271739130434783,0.105978260869565,0.0791100123609394,0.030902348578492,0.108776266996292,0.0296662546353523,0.0605686032138443,0.30902348578492,NA,24,0.994152046783626,0.551169590643275,"GPT"
0.642533936651584,0.129713423831071,0.114630467571644,0.0452488687782805,0.0588235294117647,0,12,2.83293316330261,0.223404255319149,0.390577507598784,0.527355623100304,0.279635258358663,110.53125,5.37537993920973,20.5625,0.0926966292134832,0.112359550561798,0.230337078651685,0.129213483146067,0.0252808988764045,0.103932584269663,0.0910290237467018,0.0277044854881266,0.108179419525066,0.0356200527704486,0.0527704485488127,0.315303430079156,NA,21,0.998480243161094,0.548632218844985,"GPT"
0.64954128440367,0.111926605504587,0.121100917431193,0.0495412844036697,0.0385321100917431,0.0036697247706422,10,2.80177030185633,0.217877094972067,0.400372439478585,0.521415270018622,0.243947858472998,108.111111111111,5.43575418994413,19.8888888888889,0.0966666666666667,0.0866666666666667,0.23,0.113333333333333,0.0266666666666667,0.0866666666666667,0.0950871632329636,0.0285261489698891,0.109350237717908,0.0269413629160063,0.0412044374009509,0.301109350237718,NA,13,0.994413407821229,0.595903165735568,"GPT"
0.651327433628319,0.113274336283186,0.107964601769912,0.047787610619469,0.0460176991150442,0.00353982300884955,10,2.93821379027907,0.24865831842576,0.413237924865832,0.529516994633274,0.243291592128801,109.814814814815,5.304114490161,20.7037037037037,0.0598006644518272,0.102990033222591,0.252491694352159,0.122923588039867,0.0299003322259136,0.0930232558139535,0.0977099236641221,0.033587786259542,0.116030534351145,0.0244274809160305,0.0473282442748092,0.319083969465649,NA,7,0.996422182468694,0.584973166368515,"GPT"
0.699233716475096,0.10727969348659,0.10536398467433,0.0363984674329502,0.0459770114942529,0.0057471264367816,10,2.80179554068137,0.238834951456311,0.423300970873786,0.543689320388349,0.240776699029126,112.083333333333,5.22330097087379,21.4583333333333,0.0808823529411765,0.113970588235294,0.235294117647059,0.150735294117647,0.0367647058823529,0.113970588235294,0.0919732441471572,0.0384615384615385,0.107023411371237,0.0351170568561873,0.0518394648829431,0.326086956521739,0.00167224080267558,3,0.998058252427184,0.580582524271845,"GPT"
0.728228228228228,0.0840840840840841,0.12012012012012,0.036036036036036,0.045045045045045,0.0015015015015015,13,2.94883011278093,0.260606060606061,0.434848484848485,0.56969696969697,0.242424242424242,118,5.00606060606061,23.5714285714286,0.11046511627907,0.101744186046512,0.27906976744186,0.136627906976744,0.0436046511627907,0.0930232558139535,0.0935441370223979,0.0434782608695652,0.126482213438735,0.0184453227931489,0.0461133069828722,0.328063241106719,NA,20,0.995454545454545,0.525757575757576,"GPT"
0.610200364298725,0.0728597449908925,0.0910746812386157,0.0510018214936248,0.0619307832422586,0,12,2.88680334431352,0.223443223443223,0.377289377289377,0.549450549450549,0.258241758241758,115.846153846154,5.51648351648352,21,0.099009900990099,0.115511551155116,0.184818481848185,0.0825082508250825,0.0264026402640264,0.0561056105610561,0.122186495176849,0.0160771704180064,0.090032154340836,0.0273311897106109,0.0562700964630225,0.311897106109325,NA,2,0.990842490842491,0.56959706959707,"GPT"
0.584870848708487,0.108856088560886,0.119926199261993,0.0424354243542435,0.0424354243542435,0.0018450184501845,11,3.01010002458841,0.240223463687151,0.396648044692737,0.541899441340782,0.262569832402235,118.24,5.50465549348231,21.48,0.0859106529209622,0.0962199312714777,0.219931271477663,0.109965635738832,0.0412371134020618,0.0687285223367698,0.121163166397415,0.0226171243941842,0.103392568659128,0.0274636510500808,0.0452342487883683,0.319870759289176,NA,-3,0.992551210428305,0.577281191806331,"GPT"
